id;Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12
400;1;0;0;0;21004;0;0;1;1,8;8;0;0
401;1;4;0,238475;1;80000;0;0;0;1;0;0;0
402;0;0;0,205474;0,153846;38000;0;0;0;2;8;0;0
403;1;0;-1;-1;0;0;0;1;4;15;0;0
404;0;-1;0,005058;0,357143;209352;0;0;0;1;0;0;0
405;0;0;0,021764;0,047619;161000;0;0;0;1,428571;6;0;0
406;0;0;0,532362;0,375;93921;0;0;0;1;0;0;0
407;0;0;0;0,105263;132576;0;0;0;0,25;-15;0;0
408;1;2;0,023083;0,5;1545756;0;0;0;1;0;0;0
409;0;0;0;0;38100;0;0;0;1,4;2;0;0
410;0;0;0;0;242492;0;0;0;0,933333;-1;0;0
411;0;0;-1;0;0;0;2;1;1;0;0;0
412;0;1;0,079984;0,5;15003;1;1;0;1,333333;5;0;0
413;0;0;0,00279;0;365603;1;1;0;1;0;0;0
414;1;1;0;0,166667;496500;0;0;0;1;0;0;0
415;0;0;0,324;1,333333;9000;0;0;0;2,222222;11;0;0
416;0;0;0;0,529412;63000;0;0;0;2,4;7;0;0
417;1;1;0,008989;0,083333;740887;1;0;0;1;0;0;0
418;0;0;0;0;32990;0;0;0;1;0;0;0
419;1;0;0,058647;0,428571;387590;0;0;0;2,6;8;0;0
420;0;0;0,000018;0,181818;1028321;0;0;1;0,866667;-2;0;0
421;0;0;0;0,0625;44048;0;0;0;0,333333;-10;0;0
422;1;0;0;0;40000;0;0;0;1;0;0;0
423;0;0;0;0;595000;0;0;0;0,625;-3;0;0
424;1;0;0;2;362100;0;0;0;3,333333;14;0;0
425;0;0;0;0;489100;0;0;0;1,066667;1;0;0
426;0;0;0;0,02;537505;0;0;1;1,2;2;0;1
427;0;0;0,028125;0;48000;0;0;1;1;0;0;0
428;0;0;0;0;15000;0;0;0;1,428571;6;0;0
429;1;1;0,030477;0,333333;675856;0;0;0;1;0;0;0
430;0;0;0,02556;0,114286;1927871;0;0;1;2,714286;12;0;0
431;0;0;-1;-1;0;0;0;0;2;10;0;0
432;0;0;0;0;37000;0;0;0;0,7;-6;0;0
433;0;0;0;0;1114658;0;0;0;0,666667;-4;0;0
434;1;9;0;0,7;99000;0;0;1;0,7;-3;2;0
435;0;0;0,002547;0;854200;0;0;0;0,882353;-2;0;0
436;0;0;0;0;9000;0;0;0;1,428571;6;0;0
437;0;0;0;0;4500;0;1;1;1;0;0;0
438;0;0;-1;0;0;0;0;1;1;0;0;1
439;1;1;0,044469;0,217391;130204;1;0;0;1,176471;3;0;0
440;0;0;0,004907;0;209500;0;0;0;1;0;0;0
441;0;0;0;0;284662;0;0;0;0,5;-5;0;1
442;0;1;0;0,153846;1314561;0;0;1;1,052632;1;0;0
443;1;1;-1;0,333333;0;0;1;0;1,444444;4;0;0
444;0;0;0;0;57000;0;0;1;0,714286;-4;0;0
445;1;0;0;0,111111;323000;0;0;0;1;0;0;0
446;0;0;0;0;997840;0;0;1;0,75;-5;0;1
447;0;0;0;0,428571;609423;0;0;1;1,6;3;0;0
448;0;0;0;0;1584628;0;0;1;2;5;0;0
449;0;0;-1;-1;0;0;0;1;2;5;0;0
450;0;0;0,002434;0;306500;0;0;0;0,357143;-9;0;0
